make_slug,make_id,make_name,first_year,last_year
acura,475,ACURA,1985,2027
alfa_romeo,493,ALFA ROMEO,1981,2027
am_general,606,AM GENERAL,2013,2027
aston_martin,440,ASTON MARTIN,1981,2027
audi,582,AUDI,1981,2027
bentley,583,BENTLEY,1984,2027
bmw,452,BMW,1981,2027
bugatti,454,BUGATTI,1994,2027
buick,468,BUICK,1981,2027
cadillac,469,CADILLAC,1981,2027
chevrolet,467,CHEVROLET,1981,2027
chrysler,477,CHRYSLER,1981,2027
daewoo,1077,DAEWOO,1997,2008
daihatsu,847,DAIHATSU,1985,2027
daimler,10285,DAIMLER,2019,2027
datsun,5657,DATSUN,1981,1983
delorean,13022,DELOREAN,1981,1986
dodge,476,DODGE,1981,2027
ferrari,603,FERRARI,1981,2027
fiat,492,FIAT,1981,2027
fisker,11856,FISKER,2011,2027
ford,460,FORD,1981,2027
geo,1146,GEO,1985,1997
gmc,472,GMC,1981,2027
honda,474,HONDA,1981,2027
hummer,951,HUMMER,1991,2011
hyundai,498,HYUNDAI,1986,2027
infiniti,480,INFINITI,1990,2027
isuzu,542,ISUZU,1981,2027
jaguar,442,JAGUAR,1981,2027
jeep,483,JEEP,1981,2027
karma,5122,KARMA,2015,2027
kia,499,KIA,1993,2027
lamborghini,502,LAMBORGHINI,1989,2027
land_rover,444,LAND ROVER,1985,2027
lexus,515,LEXUS,1990,2027
lincoln,464,LINCOLN,1981,2027
lotus,466,LOTUS,1981,2027
lucid,10919,LUCID,2022,2026
maserati,443,MASERATI,1981,2027
maybach,533,MAYBACH,2003,2012
mazda,473,MAZDA,1981,2027
mclaren,2236,MCLAREN,2009,2027
mercedes_benz,449,MERCEDES-BENZ,1981,2027
mercury,465,MERCURY,1981,2011
mini,456,MINI,2002,2027
mitsubishi,481,MITSUBISHI,1983,2027
nissan,478,NISSAN,1981,2027
oldsmobile,4162,OLDSMOBILE,1981,2004
peterbilt,495,PETERBILT,1981,2027
peugeot,5554,PEUGEOT,1981,2027
plymouth,2409,PLYMOUTH,1981,2027
pontiac,536,PONTIAC,1981,2010
porsche,584,PORSCHE,1981,2027
ram,496,RAM,2012,2027
renault,13647,RENAULT,1981,1987
rivian,10887,RIVIAN,2022,2026
rolls_royce,445,ROLLS-ROYCE,1981,2027
saab,572,SAAB,1981,2027
saturn,1056,SATURN,1991,2010
shelby,11832,SHELBY,2022,2026
smart,504,SMART,2000,2027
spyker,3766,SPYKER,2002,2027
subaru,523,SUBARU,1981,2027
suzuki,509,SUZUKI,1981,2027
tesla,441,TESLA,2008,2027
toyota,448,TOYOTA,1981,2027
triumph,565,TRIUMPH,1981,2027
volvo,485,VOLVO,1981,2027
yugo,5553,YUGO,1985,2027
