make_slug,style_name,occurrences
acura,1.6 EL 4DR SEDAN SE/SPORT/PREMIUM,2
acura,1.6 EL 4DR SEDAN SPORT/PREMIUM,2
acura,1.7 EL 4DR SEDAN PREMIUM,3
acura,1.7 EL 4DR SEDAN TOURING,3
acura,1.7 EL 4DR SEDAN TOURING/PREMIUM,1
acura,CSX 4DR SEDAN FWD /TECH PACKAGE,1
acura,CSX 4DR SEDAN FWD /TECH PACKAGE/TYPE-S,3
acura,CSX 4DR SEDAN FWD /TOURING/PREMIUM,1
acura,CSX 4DR SEDAN FWD /TOURING/PREMIUM/TYPE-S,1
acura,EL 4DR SEDAN FWD /PREMIUM/TOURING,1
alfa_romeo,GUILIA AWD 4DR SEDAN,1
alfa_romeo,GUILIA BASE/Ti AWD 4DR SEDAN,6
alfa_romeo,GUILIA BASE/Ti RWD 4DR SEDAN,9
alfa_romeo,GUILIA QUADRIFOGLIO 4DR SEDAN,9
alfa_romeo,GUILIA Ti AWD 4DR SEDAN,3
aston_martin,VALKYRIE,5
aston_martin,VANQUIS 2DR COUPE RWD,1
aston_martin,VOLANTE 2DR CONVERTIBLE,1
aston_martin,VOLANTE CONV.,2
audi,GT CP,2
bentley,CORNICHE,1
bentley,CORNICHE IV 2DR CONVERTIBLE,2
bentley,SILVER DAWN 4DR SEDAN,3
bentley,SILVER SPIRIT,1
bentley,SILVER SPIRIT 4DR SEDAN,1
bentley,SILVER SPIRIT II 4DR SEDAN,3
bentley,SILVER SPIRIT III 4DR SEDAN,1
bentley,SILVER SPUR,1
bentley,SILVER SPUR 4DR SEDAN,4
bentley,SILVER SPUR II 4DR SEDAN,3
bentley,SILVER SPUR III 4DR SEDAN,2
bmw,1-SERIES M COUPE 2DR COUPE,1
bmw,323Ci 2DR COUPE,1
bmw,325 2 DR COUPE,2
bmw,325 4 DR SEDAN,2
bmw,325 e 2 DR,2
bmw,325 e 4 DR,2
bmw,325Si 2DR COUPE,2
bmw,5 SERIES 520d 4DR SEDAN,1
bmw,5 SERIES 520d xDRIVE 4DR SEDAN,1
bmw,5 SERIES 530d 4DR SEDAN,1
bmw,5 SERIES 530d xDRIVE 4DR SEDAN,1
bmw,5 SERIES 535xDrive Gran Turismo 4DR SEDAN AWD,1
bmw,5 SERIES 550xDrive Gran Turismo 4DR SEDAN AWD,1
bmw,7 SERIES 740Le 4DR SEDAN LWB,3
bmw,7 SERIES ACTIVE HYBRID 4DR SEDAN RWD,3
bmw,7 SERIES ACTIVEHYBRID 4DR SEDAN RWD,3
bmw,8-SERIES 2DR CONVERTIBLE,8
bmw,8-SERIES 2DR COUPE,8
bmw,8-SERIES GRAN COUPE,7
bmw,M COUPE 2DR COUPE RWD,1
bmw,M COUPE 2DR RWD,3
bmw,M COUPE 3.2,1
bmw,M ROADSTER,2
bmw,M ROADSTER 2DR CONVERTIBLE RWD,1
bmw,M ROADSTER 3.2,1
bmw,M ROADSTER 3.2L,2
buick,ESTATE WAGON,1
